location,population_age,0-18,19-29,30-59,60+
All Public,0-18,245.56,125.87,115.84,101.66
All Public,19-29,11.816,35.188,22.252,16.476
All Public,30-59,29.755,60.883,64.496,44.309
All Public,60+,14.547,25.114,24.685,24.681
Grocery Store,0-18,4.2293,2.2692,2.6706,1.8509
Grocery Store,19-29,0.21302,1.5881,1.0981,0.70058
Grocery Store,30-59,0.68595,3.0046,3.996,2.2569
Grocery Store,60+,0.26484,1.0679,1.2573,1.0317
Health Facility,0-18,1.7842,0.33439,0.46441,0
Health Facility,19-29,0.031391,0.82516,0.29529,0.055211
Health Facility,30-59,0.11928,0.80793,1.9249,0.80029
Health Facility,60+,0,0.084157,0.44584,0.5344
Other Place,0-18,8.6229,10.035,11.651,10.006
Other Place,19-29,0.94201,4.6558,5.181,4.6584
Other Place,30-59,2.9925,14.176,18.366,16.482
Other Place,60+,1.4318,7.1007,9.1821,8.7307
Other Store (Mall),0-18,9.9735,14.573,9.0624,6.6125
Other Store (Mall),19-29,1.368,10.477,3.9916,2.7148
Other Store (Mall),30-59,2.3277,10.921,5.6045,3.6646
Other Store (Mall),60+,0.9462,4.1381,2.0416,1.6753
Outdoors (not home),0-18,56.131,10.936,17.057,11.087
Outdoors (not home),19-29,1.0266,0.41546,0.36256,0.26309
Outdoors (not home),30-59,4.3812,0.992,2.0578,1.2305
Outdoors (not home),60+,1.5865,0.40102,0.68552,0.58712
Personal Services,0-18,0.47774,0,0,0
Personal Services,19-29,0,0.10239,0.010646,0
Personal Services,30-59,0,0.029129,0.38229,0
Personal Services,60+,0,0,0,0
Place of Worship,0-18,40.495,19.349,24.152,31.971
Place of Worship,19-29,1.8164,1.9884,1.576,2.2929
Place of Worship,30-59,6.2035,4.3122,4.9835,6.775
Place of Worship,60+,4.5748,3.495,3.7743,5.4299
Public Building (Library),0-18,4.972,0.61088,0.43198,0.25746
Public Building (Library),19-29,0.057347,3.5259,1.3256,0.41301
Public Building (Library),30-59,0.11096,3.6271,2.6236,0.715
Public Building (Library),60+,0.03684,0.62955,0.39833,0.48255
Respondents workplace,0-18,0.1674,0.88757,0.74348,0.12087
Respondents workplace,19-29,0.083321,1.1013,1.1223,0.14832
Respondents workplace,30-59,0.19096,3.0706,6.5037,0.44284
Respondents workplace,60+,0.017295,0.22608,0.24671,0.042332
Restaurant or Bar,0-18,5.1466,8.8035,9.9206,6.7861
Restaurant or Bar,19-29,0.82643,4.8943,4.1164,2.8775
Restaurant or Bar,30-59,2.5481,11.263,11.584,7.4516
Restaurant or Bar,60+,0.97103,4.3861,4.1513,3.626
School,0-18,0.2465,0,0,0.0087263
School,19-29,0,0.61438,0.066671,0.049436
School,30-59,0,0.18242,0.7101,0.22304
School,60+,0.0012487,0.075353,0.12426,0.6238
Someone elses home,0-18,113.32,58.072,39.69,32.963
Someone elses home,19-29,5.4516,4.9998,3.1057,2.3026
Someone elses home,30-59,10.194,8.4974,5.7595,4.2672
Someone elses home,60+,4.7168,3.5098,2.3773,1.917
